Age,Gender,Education,Job_Title,Years_Experience,Department,Salary
28,Male,Bachelor's,Software Engineer,3,Engineering,72000
35,Female,Master's,Data Scientist,7,Data Science,105000
42,Male,PhD,Senior Manager,15,Management,145000
30,Female,Bachelor's,HR Specialist,5,HR,58000
25,Male,Bachelor's,Junior Developer,1,Engineering,52000
38,Female,Master's,Product Manager,10,Product,115000
45,Male,PhD,Director,18,Management,175000
32,Female,Bachelor's,Data Analyst,6,Data Science,78000
29,Male,Master's,ML Engineer,4,Engineering,95000
52,Female,Bachelor's,Senior HR Manager,22,HR,92000
27,Male,Bachelor's,Frontend Developer,2,Engineering,61000
36,Female,Master's,Data Scientist,8,Data Science,110000
41,Male,PhD,Principal Engineer,14,Engineering,155000
33,Female,Bachelor's,Business Analyst,7,Finance,82000
24,Male,Bachelor's,Intern,0,Engineering,38000
47,Female,Master's,VP of Engineering,20,Engineering,195000
31,Male,Bachelor's,Software Engineer,5,Engineering,79000
39,Female,PhD,Research Scientist,12,Data Science,132000
26,Male,Master's,Data Scientist,2,Data Science,88000
43,Female,Bachelor's,Operations Manager,16,Operations,108000
34,Male,Master's,DevOps Engineer,8,Engineering,102000
28,Female,Bachelor's,Marketing Analyst,3,Marketing,62000
55,Male,PhD,CTO,25,Engineering,220000
37,Female,Master's,Senior Data Scientist,10,Data Science,125000
30,Male,Bachelor's,Cloud Engineer,5,Engineering,88000
44,Female,PhD,Director of Data Science,17,Data Science,165000
29,Male,Master's,Backend Developer,3,Engineering,82000
38,Female,Bachelor's,Project Manager,10,Management,97000
25,Male,Bachelor's,Data Analyst,1,Data Science,55000
50,Female,Master's,Senior Manager,20,Management,138000
33,Male,Bachelor's,Software Engineer,7,Engineering,85000
27,Female,Master's,ML Engineer,2,Engineering,90000
46,Male,PhD,Principal Scientist,19,Data Science,158000
35,Female,Bachelor's,HR Manager,9,HR,82000
31,Male,Master's,Product Manager,6,Product,108000
42,Female,PhD,Senior Engineer,15,Engineering,142000
28,Male,Bachelor's,QA Engineer,3,Engineering,65000
36,Female,Master's,Data Engineer,9,Data Science,118000
24,Male,Bachelor's,Junior Analyst,0,Finance,42000
49,Female,Bachelor's,Operations Director,21,Operations,135000
32,Male,Master's,Software Architect,7,Engineering,120000
39,Female,PhD,Data Science Manager,12,Data Science,148000
27,Male,Bachelor's,Support Engineer,2,Engineering,58000
44,Female,Master's,Product Director,17,Product,155000
30,Male,Bachelor's,Software Engineer,5,Engineering,80000
37,Female,Master's,Senior Analyst,10,Finance,102000
53,Male,PhD,VP of Product,23,Product,205000
34,Female,Bachelor's,Marketing Manager,8,Marketing,88000
29,Male,Master's,Data Scientist,4,Data Science,98000
41,Female,Bachelor's,Finance Manager,14,Finance,115000
26,Male,Bachelor's,Junior Developer,1,Engineering,54000
48,Female,PhD,Research Director,20,Data Science,172000
33,Male,Master's,Cloud Architect,7,Engineering,118000
38,Female,Bachelor's,HR Business Partner,11,HR,87000
25,Male,Master's,Data Analyst,1,Data Science,62000
45,Female,PhD,Engineering Manager,18,Engineering,168000
31,Male,Bachelor's,Software Engineer,6,Engineering,83000
36,Female,Master's,Senior Data Engineer,9,Data Science,122000
28,Male,Bachelor's,Frontend Developer,3,Engineering,68000
43,Female,Bachelor's,Senior Project Manager,15,Management,118000
30,Male,PhD,Research Engineer,5,Engineering,102000
39,Female,Master's,Product Manager,11,Product,120000
27,Male,Bachelor's,Data Analyst,2,Data Science,60000
52,Female,PhD,Director,22,Management,182000
35,Male,Master's,ML Engineer,8,Engineering,112000
29,Female,Bachelor's,Software Engineer,4,Engineering,75000
46,Male,PhD,Principal Engineer,19,Engineering,162000
33,Female,Master's,Data Scientist,7,Data Science,108000
24,Male,Bachelor's,Junior Developer,0,Engineering,48000
41,Female,Bachelor's,Operations Manager,14,Operations,110000
37,Male,Master's,Senior Software Engineer,10,Engineering,125000
28,Female,Bachelor's,Business Analyst,3,Finance,67000
50,Male,PhD,CTO,22,Engineering,215000
34,Female,Master's,Data Science Lead,8,Data Science,130000
32,Male,Bachelor's,DevOps Engineer,6,Engineering,90000
43,Female,PhD,Senior Research Scientist,16,Data Science,155000
27,Male,Master's,Backend Developer,2,Engineering,85000
38,Female,Bachelor's,Marketing Director,11,Marketing,115000
25,Male,Bachelor's,Intern,0,Data Science,40000
47,Female,Master's,Senior Manager,20,Management,142000
31,Male,Bachelor's,Software Engineer,5,Engineering,78000
36,Female,PhD,Machine Learning Manager,10,Data Science,145000
29,Male,Master's,Cloud Engineer,4,Engineering,94000
44,Female,Bachelor's,HR Director,17,HR,118000
33,Male,PhD,Principal Data Scientist,7,Data Science,135000
39,Female,Master's,Senior Product Manager,12,Product,130000
26,Male,Bachelor's,Junior Analyst,1,Finance,48000
55,Female,PhD,VP of Data Science,25,Data Science,225000
35,Male,Bachelor's,Software Engineer,9,Engineering,88000
30,Female,Master's,Data Scientist,5,Data Science,100000
42,Male,PhD,Engineering Director,15,Engineering,170000
28,Female,Bachelor's,QA Engineer,3,Engineering,63000
37,Male,Master's,Senior Cloud Engineer,10,Engineering,128000
24,Female,Bachelor's,Junior Developer,0,Engineering,46000
49,Male,PhD,Research Director,21,Data Science,175000
32,Female,Master's,Product Manager,6,Product,110000
41,Male,Bachelor's,Senior Developer,14,Engineering,118000
27,Female,Master's,Data Engineer,2,Data Science,88000
46,Male,PhD,Principal Scientist,18,Data Science,162000
